,site,site_name,latitude,longitude,elevation,country,country_iso_code,site_type,site_area,date_start,date_end,network,eu_code,eoi_code,observation_count,data_source
1098,cz0tfmi,Frydek-Mistek,49.67179883,18.35105412,290,czechia,CZ,background,suburban,01/01/1994 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0TFMI,CZ0TFMI,977633,airbase; aqer:e1a; aqer:e2a
1099,cz0tfrb,NA,49.543047,18.211217,406,czechia,CZ,background,urban,NA,NA,NET-CZ001A,STA-CZ0TFRB,STA-CZ0TFRB,NA,aqer:e1a
1100,cz0thar,Havirov,49.79100528,18.4068395,260,czechia,CZ,background,urban,01/01/1993 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0THAR,CZ0THAR,809173,airbase; aqer:e1a; aqer:e2a
1101,cz0that,NA,49.93981552,18.27664948,207,czechia,CZ,background,rural_regional,31/12/2015 23:00,29/12/2016 23:00,NET-CZ001A,STA.CZ_THAT,CZ0THAT,711,aqer:e1a
1102,cz0ther,Hermanovice,50.192778,17.402222,622,czechia,CZ,background,rural,06/01/2011 00:00,31/12/2011 00:00,NA,NA,NA,1680,airbase
1103,cz0thlu,Hlucin,49.906203,18.191767,256,czechia,CZ,background,suburban,01/01/2009 00:00,31/12/2009 00:00,NA,NA,NA,729,airbase
1104,cz0tkao,Karvina-ZU,49.85888672,18.5577774,230,czechia,CZ,traffic,urban,01/01/2008 00:00,28/12/2018 23:00,NET-CZ002A,STA-CZ0TKAO,CZ0TKAO,8291,airbase; aqer:e1a
1105,cz0tkar,Karvina,49.86379,18.55146826,238,czechia,CZ,background,urban,01/01/1993 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0TKAR,CZ0TKAR,1665388,airbase; aqer:e1a; aqer:e2a
1106,cz0tkop,Koprivnice,49.600391,18.144428,312,czechia,CZ,background,urban,01/01/2009 00:00,31/12/2009 00:00,NA,NA,NA,2149,airbase
1107,cz0tkrn,Krnov,50.100556,17.689444,358,czechia,CZ,background,suburban,01/01/2010 00:00,31/12/2010 00:00,NA,NA,NA,2133,airbase
1108,cz0tkst,Karlova Studanka,50.07255164,17.30595412,782,czechia,CZ,background,rural,NA,NA,NET-CZ002A,STA-CZ0TKST,CZ0TKST,NA,aqer:e1a
1109,cz0tlud,Ludgerovice,49.88798866,18.24406477,223,czechia,CZ,background,suburban,NA,NA,NET-CZ001A,STA-CZ0TLUD,CZ0TLUD,NA,aqer:e1a
1110,cz0tnjk,Novy Jicin-Kojetin,49.561333,17.982639,470,czechia,CZ,background,rural,02/01/2011 00:00,31/12/2011 00:00,NA,NA,NA,351,airbase
1111,cz0tnuj,Navsi u Jablunkova,49.59418379,18.74397722,380,czechia,CZ,background,rural_regional,01/01/2005 00:00,30/03/2016 23:00,NET-CZ001A,STA-CZ0TNUJ,CZ0TNUJ,3469,airbase; aqer:e1a
1112,cz0toba,Ostrava-Radvanice ZU,49.80706674,18.33910653,243,czechia,CZ,industrial,suburban,02/01/2008 00:00,31/12/2012 00:00,NET-CZ002A,STA-CZ0TOBA,CZ0TOBA,4136,airbase
1113,cz0tobh,NA,50.27156448,17.71415329,235,czechia,CZ,background,rural_regional,12/01/2016 23:00,26/12/2016 23:00,NET-CZ001A,STA.CZ_TOBH,CZ0TOBH,522,aqer:e1a
1114,cz0tocb,Ostrava-Ceskobratrsk,49.8398689,18.28996868,215,czechia,CZ,traffic,urban,01/01/2005 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0TOCB,CZ0TOCB,743490,airbase; aqer:e1a; aqer:e2a
1115,cz0toff,Ostrava-Fifejdy,49.83917367,18.26337855,220,czechia,CZ,background,urban,01/01/1993 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0TOFF,CZ0TOFF,1831740,airbase; aqer:e1a; aqer:e2a
1116,cz0tomh,Ostrava-Marianske Ho,49.82486148,18.26364804,236,czechia,CZ,industrial,urban,02/01/2008 00:00,28/12/2018 23:00,NET-CZ002A,STA-CZ0TOMH,CZ0TOMH,5632,airbase; aqer:e1a
1117,cz0tonv,NA,49.82408142,18.23494339,210,czechia,CZ,traffic,urban,02/01/2017 23:00,27/12/2017 23:00,NET-CZ002A,STA.CZ_TONV,CZ0TONV,305,aqer:e1a
1118,cz0topd,NA,49.83547211,18.16522217,282,czechia,CZ,traffic,urban,01/01/2016 23:00,28/12/2018 23:00,NET-CZ002A,STA.CZ_TOPD,CZ0TOPD,596,aqer:e1a
1119,cz0topo,Ostrava-Poruba/CHMU,49.82526715,18.15926381,242,czechia,CZ,background,suburban,01/01/2005 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0TOPO,CZ0TOPO,290198,airbase; aqer:e1a; aqer:e2a
1120,cz0topr,Ostrava-Privoz,49.85626163,18.26975659,207,czechia,CZ,industrial,urban,01/01/2003 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0TOPR,CZ0TOPR,1322934,airbase; aqer:e1a; aqer:e2a
1121,cz0topu,Ostrava-Poruba IV.,49.834444,18.179444,233,czechia,CZ,background,urban,01/12/2009 00:00,31/12/2011 00:00,NA,NA,NA,3044,airbase
1122,cz0tora,Ostrava-Radvanice,49.81839,18.337444,256,czechia,CZ,background,suburban,01/01/1993 00:00,31/12/2004 23:00,NA,NA,NA,331550,airbase
1123,cz0tore,NA,49.80705643,18.33913994,250,czechia,CZ,industrial,suburban,31/12/2012 23:00,28/12/2018 23:00,NET-CZ002A,STA.CZ_TORE,CZ0TORE,1467,aqer:e1a
1124,cz0toro,Ostrava Radvanice OZO,49.81854423,18.34036417,258,czechia,CZ,background,suburban,31/12/2012 23:00,31/12/2018 22:00,NET-CZ002A,STA-CZ0TORO,CZ0TORO,18784,aqer:e1a
1125,cz0torv,Orlova,49.87565928,18.43360929,266,czechia,CZ,background,urban,01/01/2005 00:00,31/12/2016 22:00,NET-CZ001A,STA-CZ0TORV,CZ0TORV,249108,airbase; aqer:e1a
1126,cz0tosg,NA,49.55229568,18.36111069,428,czechia,CZ,background,rural_regional,19/04/2016 23:00,29/12/2018 23:00,NET-CZ001A,STA.CZ_TOSG,CZ0TOSG,1956,aqer:e1a
1127,cz0touz,NA,49.93635941,17.90516663,255,czechia,CZ,traffic,urban,02/01/2017 23:00,27/12/2017 23:00,NET-CZ002A,STA.CZ_TOUZ,CZ0TOUZ,305,aqer:e1a
1128,cz0tovk,Opava-Katerinky,49.9460044,17.90953216,255,czechia,CZ,background,urban,01/01/1994 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0TOVK,CZ0TOVK,1211597,airbase; aqer:e1a; aqer:e2a
1129,cz0tozr,Ostrava-Zabreh,49.79605043,18.24720887,235,czechia,CZ,background,urban,01/01/1993 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0TOZR,CZ0TOZR,1132686,airbase; aqer:e1a; aqer:e2a
1130,cz0tpea,Petrovice u Karvine OU,49.89674,18.54022,227,czechia,CZ,background,suburban,03/01/2012 00:00,31/12/2012 00:00,NA,NA,NA,1770,airbase
1131,cz0tpis,NA,49.57362366,18.78490067,456,czechia,CZ,background,rural_nearcity,12/01/2016 23:00,29/12/2018 23:00,NET-CZ001A,STA.CZ_TPIS,CZ0TPIS,1080,aqer:e1a
1132,cz0tryc,NA,49.87166977,18.37725449,241,czechia,CZ,background,urban,08/03/2016 00:00,31/12/2018 22:00,NET-CZ001A,STA.CZ_TRYC,CZ0TRYC,141829,aqer:e1a
1133,cz0tstd,Studenka,49.72095687,18.08928504,231,czechia,CZ,background,rural_nearcity,01/01/1994 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0TSTD,CZ0TSTD,1443311,airbase; aqer:e1a; aqer:e2a
1134,cz0tsud,NA,50.02976608,18.07707405,217,czechia,CZ,background,rural_regional,07/01/2016 23:00,29/12/2016 23:00,NET-CZ001A,STA.CZ_TSUD,CZ0TSUD,886,aqer:e1a
1135,cz0ttrk,Trinec-Kanada,49.67238018,18.64300659,346,czechia,CZ,background,urban,01/01/2005 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0TTRK,CZ0TTRK,556601,airbase; aqer:e1a; aqer:e2a
