,site,site_name,latitude,longitude,elevation,country,country_iso_code,site_type,site_area,date_start,date_end,network,eu_code,eoi_code,observation_count,data_source
1,ad0942a,Fixa,42.509694,1.539138,1080,andorra,AD,background,urban,31/12/2011 23:00,14/12/2020 02:00,NET-AD001A,STA-AD0942A,AD0942A,461609,aqer:e1a; aqer:e2a
2,ad0944a,Fixa oz,42.516944,1.56525,1637,andorra,AD,background,rural,31/12/2011 23:00,14/12/2020 01:00,NET-AD001A,STA-AD0944A,AD0944A,68370,aqer:e1a; aqer:e2a
3,ad0945a,Estacional oz Envalira,42.534883,1.716986,2515,andorra,AD,background,rural,26/04/2012 10:00,08/10/2020 13:00,NET-AD001A,STA-AD0945A,AD0945A,28986,aqer:e1a; aqer:e2a
4,al0201a,Tirana Center,41.330269,19.821772,162,albania,AL,traffic,urban,01/01/2011 00:00,31/12/2012 06:00,NET-AL002A,STA-AL0201A,STA-AL0201A,145816,airbase
5,al0202a,Tirana IPH,41.3456,19.851667,207,albania,AL,traffic,suburban,01/01/2011 00:00,31/12/2012 06:00,NET-AL002A,STA-AL0202A,STA-AL0202A,119022,airbase
6,al0203a,Korca,40.62593,20.78018,848,albania,AL,background,suburban,08/01/2014 18:00,31/12/2018 21:00,NET-AL001A,STA-AL0203A,AL0203A,217741,aqer:e1a
7,al0204a,Vlora,40.40309,19.4862,25,albania,AL,background,urban,01/01/2014 00:00,31/12/2018 21:00,NET-AL001A,STA-AL0204A,AL0204A,206319,aqer:e1a
8,al0205a,Durres,41.3199,19.4492,1,albania,AL,traffic,urban,31/03/2014 15:00,31/12/2018 21:00,NET-AL001A,STA-AL0205A,AL0205A,194045,aqer:e1a
9,al0206a,Shkoder,42.3139,19.52342,13,albania,AL,background,urban,19/02/2014 21:00,31/12/2018 21:00,NET-AL001A,STA-AL0206A,AL0206A,163799,aqer:e1a
10,al0207a,Elbasan,41.11098,20.0817,150,albania,AL,traffic,urban,09/04/2014 12:00,31/12/2018 21:00,NET-AL001A,STA-AL0207A,AL0207A,159343,aqer:e1a
11,at0ach1,Achenkirch - Am Zenzfeld,47.503056,11.70028,463,austria,AT,background,rural,01/04/1993 00:00,17/09/2003 15:00,NA,NA,NA,182042,airbase
12,at0enk1,Enzenkirchen im Sauwald,48.39164681,13.67110098,525,austria,AT,background,rural_remote,03/06/1998 00:00,13/12/2020 17:00,NET-AT001A,STA-AT0ENK1,AT0ENK1,1228714,airbase; aqer:e1a; aqer:e2a
13,at0hbg1,Hochburg-Ach,48.148056,12.866947,463,austria,AT,background,rural,01/01/1995 00:00,26/05/1998 12:00,NA,NA,NA,115184,airbase
14,at0ill1,Illmitz am Neusiedler See,47.77002433,16.76642596,117,austria,AT,background,rural_remote,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT0ILL1,AT0ILL1,1651315,airbase; aqer:e1a; aqer:e2a
15,at0ill2,Illmitz,47.77028,16.76639,117,austria,AT,background,rural_regional,31/12/2016 23:00,12/12/2018 22:00,NET.10,STA.10.ILL2,AT0ILL2,15796,aqer:e1a
16,at0klh1,Klöch bei Bad Radkersburg,46.75275279,15.95668456,300,austria,AT,background,rural_regional,31/12/2012 23:00,13/12/2020 17:00,NET-AT001A,STA-AT0KLH1,AT0KLH1,242582,aqer:e1a; aqer:e2a
17,at0pil1,Pillersdorf bei Retz,48.72110166,15.94222168,315,austria,AT,background,rural_remote,27/02/1992 00:00,13/12/2020 17:00,NET-AT001A,STA-AT0PIL1,AT0PIL1,1324857,airbase; aqer:e1a; aqer:e2a
18,at0sig1,St. Sigmund im Sellrain - Gleirschalm,47.189167,11.099736,1666,austria,AT,background,rural,05/10/1999 00:00,22/10/2008 15:00,NA,NA,NA,476459,airbase
19,at0son1,Sonnblick,47.05447306,12.95837764,3106,austria,AT,background,rural_remote,01/01/1990 00:00,06/12/2020 14:00,NET-AT001A,STA-AT0SON1,AT0SON1,832011,airbase; aqer:e1a; aqer:e2a
20,at0sto1,Stolzalpe bei Murau,47.129166,14.203892,1302,austria,AT,background,rural,01/01/1992 00:00,25/04/2006 13:00,NA,NA,NA,571343,airbase
21,at0vor1,Vorhegg bei Kötschach-Mauthen,46.67970755,12.9719422,1020,austria,AT,background,rural_remote,01/01/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT0VOR1,AT0VOR1,1768341,airbase; aqer:e1a; aqer:e2a
22,at0zil1,Ried im Zillertal,47.306667,11.863889,555,austria,AT,background,rural,01/01/2009 00:00,31/12/2011 23:00,NA,NA,NA,134541,airbase
23,at0zoe2,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,47.8386271,14.44140634,899,austria,AT,background,rural_remote,01/01/1996 00:00,13/12/2020 17:00,NET-AT001A,STA-AT0ZOE2,AT0ZOE2,1237800,airbase; aqer:e1a; aqer:e2a
24,at10001,Eisenstadt Laschoberstraße,47.84001391,16.52666561,160,austria,AT,background,suburban,01/01/1994 00:00,13/12/2020 17:00,NET-AT001A,STA-AT10001,AT10001,1538037,airbase; aqer:e1a; aqer:e2a
25,at10002,Oberschützen,47.30414286,16.19303131,330,austria,AT,background,rural_regional,01/01/1994 00:00,13/12/2020 17:00,NET-AT001A,STA-AT10002,AT10002,1081415,airbase; aqer:e1a; aqer:e2a
26,at10003,Kittsee,48.10943339,17.071404,138,austria,AT,background,suburban,01/01/2000 00:00,13/12/2020 17:00,NET-AT001A,STA-AT10003,AT10003,1038482,airbase; aqer:e1a; aqer:e2a
27,at10007,Mannersdorf an der Rabnitz,47.46527778,16.64722222,205,austria,AT,background,rural,07/04/2011 00:00,31/12/2012 23:00,NET.01,STA.01.0007,AT10007,30425,airbase
28,at10008,NA,48.000972,16.862967,180,austria,AT,background,rural,NA,NA,NET.01,STA.01.0008,AT10008,NA,aqer:e1a
29,at10035,Jennersdorf Schule,46.942036,16.148272,240,austria,AT,background,suburban,19/04/2016 11:00,04/07/2018 22:00,NET.01,STA.01.0035,AT10035,53435,aqer:e1a
30,at11002,Oberwart Brunnenfeld,47.304165,16.193054,330,austria,AT,background,rural,01/07/1993 00:00,21/10/2008 00:00,NA,NA,NA,576434,airbase
31,at11007,Lutzmannsburg,47.46527778,16.64722222,205,austria,AT,background,rural,21/11/2016 14:00,02/09/2018 22:00,NET.01,STA.01.1007,AT11007,28950,aqer:e1a
32,at20444,Arnoldstein Kugi,46.55414236,13.69858943,570,austria,AT,industrial,rural,01/01/2001 00:00,30/11/2018 23:00,NET-AT001A,STA-AT20444,AT20444,8517,airbase; aqer:e1a
33,at2aut1,Rennweg A10,47.026944,13.603889,1160,austria,AT,traffic,rural,01/01/2003 00:00,31/12/2011 23:00,NA,NA,NA,346392,airbase
34,at2f101,Soboth Forsthaus,46.675556,15.046123,1080,austria,AT,background,rural,01/01/2001 00:00,31/12/2009 23:00,NA,NA,NA,462098,airbase
35,at2f103,Klagenfurt A2 Nordumfahrung 2,46.65305556,14.26611111,455,austria,AT,traffic,suburban,31/12/2016 23:00,13/12/2020 17:00,NET.02,STA.02.F103,AT2F103,32747,aqer:e1a; aqer:e2a
36,at2f202,Klein St. Paul - Pemberg,46.84192334,14.52890225,810,austria,AT,industrial,rural,02/01/1996 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2F202,AT2F202,1250695,airbase; aqer:e1a; aqer:e2a
37,at2fe13,Feldkirchen Milesistrasse,46.727501,14.090838,550,austria,AT,traffic,rural,01/01/1996 00:00,31/12/1998 23:00,NA,NA,NA,134713,airbase
38,at2he19,Hermagor Gailtalstrasse,46.624722,13.373061,600,austria,AT,traffic,rural,01/01/1993 00:00,31/12/2000 23:00,NA,NA,NA,311746,airbase
39,at2ka11,Klagenfurt Koschatstrasse,46.626111,14.298347,440,austria,AT,traffic,urban,01/01/1991 00:00,31/12/2010 23:00,NA,NA,NA,1396252,airbase
40,at2ka21,Klagenfurt Völkermarkter Straße,46.62001555,14.31698967,445,austria,AT,traffic,urban,01/01/1994 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2KA21,AT2KA21,1210988,airbase; aqer:e1a; aqer:e2a
41,at2ka41,Klagenfurt Kreuzbergl,46.62970148,14.2891419,550,austria,AT,background,suburban,03/06/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2KA41,AT2KA41,445253,airbase; aqer:e1a; aqer:e2a
42,at2ka61,Klagenfurt A2 Nordumfahrung,46.65276798,14.2689298,455,austria,AT,traffic,suburban,01/05/2008 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2KA61,AT2KA61,212147,airbase; aqer:e1a; aqer:e2a
43,at2ka71,Klagenfurt Sterneckstraße,46.62667867,14.29920303,445,austria,AT,background,urban,01/01/2011 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2KA71,AT2KA71,550436,airbase; aqer:e1a; aqer:e2a
44,at2kl17,Ferlach,46.529167,14.301683,460,austria,AT,background,rural,01/01/1993 00:00,31/12/2000 23:00,NA,NA,NA,291921,airbase
45,at2m121,Arnoldstein Gailitz Waldsiedlungsstraße,46.55889877,13.70496747,574,austria,AT,industrial,suburban,01/01/2001 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2M121,AT2M121,1049584,airbase; aqer:e1a; aqer:e2a
46,at2m226,Ebenthal Zell,46.60835312,14.39864653,430,austria,AT,background,rural,02/01/2007 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2M226,AT2M226,242196,airbase; aqer:e1a; aqer:e2a
47,at2m611,St. Veit an der Glan - Glandorf,46.76055556,14.37944444,470,austria,AT,background,suburban,19/12/2019 07:00,13/12/2020 17:00,NET.02,STA.02.M611,AT2M611,5965,aqer:e2a
48,at2sp10,Obervellach Schulzentrum,46.93554675,13.19553287,686,austria,AT,background,rural_regional,20/08/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2SP10,AT2SP10,1731894,airbase; aqer:e1a; aqer:e2a
49,at2sp18,Spittal a. d. Drau Oktoberstraße,46.80166115,13.49557018,560,austria,AT,background,suburban,22/08/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2SP18,AT2SP18,1446499,airbase; aqer:e1a; aqer:e2a
50,at2sp20,Oberdrauburg Bundesstrasse,46.748055,12.972783,612,austria,AT,traffic,rural,28/03/1992 00:00,31/12/2011 23:00,NA,NA,NA,492253,airbase
51,at2sv14,St. Veit a.d.Glan Oktoberplatz,46.765835,14.355003,475,austria,AT,traffic,urban,21/01/1991 00:00,31/12/2007 23:00,NA,NA,NA,653299,airbase
52,at2sv24,St. Veit a. d. Glan Hauptbahnhof,46.77029108,14.36585802,480,austria,AT,background,urban,20/03/2008 00:00,31/12/2016 23:00,NET-AT001A,STA-AT2SV24,AT2SV24,165384,airbase; aqer:e1a
53,at2trei,Treibach Werksküche,46.86330229,14.4583845,605,austria,AT,industrial,rural,21/01/2007 00:00,30/11/2018 23:00,NET-AT001A,STA-AT2TREI,AT2TREI,1984,airbase; aqer:e1a
54,at2vi12,Villach Tirolerbrücke,46.61113012,13.84115207,490,austria,AT,traffic,urban,01/01/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2VI12,AT2VI12,1652508,airbase; aqer:e1a; aqer:e2a
55,at2vk01,Völkermarkt Spielplatz,46.66281944,14.63228056,460,austria,AT,background,suburban,31/12/2015 23:00,31/10/2018 23:00,NET.02,STA.02.VK01,AT2VK01,23,aqer:e1a
56,at2vk16,Völkermarkt Umfahrungsstrasse,46.663891,14.63307,460,austria,AT,traffic,rural,01/01/1993 00:00,31/12/2000 23:00,NA,NA,NA,336250,airbase
57,at2vk26,Bleiburg Koschatstrasse Schule,46.585556,14.795011,480,austria,AT,background,rural,20/10/1991 00:00,31/12/2011 23:00,NA,NA,NA,689150,airbase
58,at2vl12,Fürnitz Bahnhofstrasse,46.563889,13.811122,515,austria,AT,industrial,rural,01/01/1993 00:00,31/12/2000 23:00,NA,NA,NA,311303,airbase
59,at2vl22,Arnoldstein Waldsiedlung,46.55722,13.7089,580,austria,AT,industrial,rural,01/05/1994 00:00,31/12/2009 00:00,NA,NA,NA,133756,airbase
60,at2vl52,Gerlitzen Steinturm,46.68389831,13.90196801,1895,austria,AT,background,rural_regional,03/06/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2VL52,AT2VL52,438542,airbase; aqer:e1a; aqer:e2a
61,at2vl62,Arnoldstein Hohenthurn,46.558056,13.666947,670,austria,AT,industrial,rural,01/06/1994 00:00,31/12/2009 00:00,NA,NA,NA,134212,airbase
62,at2wo15,Wolfsberg Hauptschule,46.83528677,14.84421091,440,austria,AT,traffic,urban,01/01/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2WO15,AT2WO15,2118315,airbase; aqer:e1a; aqer:e2a
63,at2wo25,St. Andrä i. L. Volksschule,46.7638918,14.82220219,430,austria,AT,industrial,urban,15/10/1990 00:00,12/02/2020 07:00,NET-AT001A,STA-AT2WO25,AT2WO25,1023477,airbase; aqer:e1a; aqer:e2a
64,at2wo35,St. Georgen im Lavanttal - Herzogberg,46.70805049,14.89191145,540,austria,AT,background,rural_regional,01/01/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT2WO35,AT2WO35,1486920,airbase; aqer:e1a; aqer:e2a
65,at30033,Litschau,48.956,15.039,560,austria,AT,background,rural_regional,31/12/2017 23:00,31/10/2018 23:00,NET.03,STA.03.33,AT30033,11,aqer:e1a
66,at30065,"Purkersdorf,Tullnerbachstraße",48.20722984,16.175604,248,austria,AT,background,suburban,01/06/2003 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30065,AT30065,684012,airbase; aqer:e1a; aqer:e2a
67,at30101,Amstetten,48.12028888,14.87915538,270,austria,AT,background,suburban,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30101,AT30101,1184742,airbase; aqer:e1a; aqer:e2a
68,at30102,St. Valentin Stein,48.226665,14.562789,242,austria,AT,background,rural,01/01/1990 00:00,21/12/2005 21:00,NA,NA,NA,662505,airbase
69,at30103,Kollmitzberg,48.17974343,14.86666879,465,austria,AT,background,rural_regional,01/01/1988 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30103,AT30103,1161599,airbase; aqer:e1a; aqer:e2a
70,at30104,"St. Valentin,Westautobahn",48.17998302,14.54561091,295,austria,AT,traffic,rural_regional,04/01/2006 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30104,AT30104,559053,airbase; aqer:e1a; aqer:e2a
71,at30201,"Bad Vöslau,Gainfarn",47.95998293,16.2069552,286,austria,AT,background,suburban,01/01/1993 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30201,AT30201,1220570,airbase; aqer:e1a; aqer:e2a
72,at30202,Forsthof am Schöpfl,48.10613431,15.91940448,581,austria,AT,background,rural_regional,01/02/1988 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30202,AT30202,1464807,airbase; aqer:e1a; aqer:e2a
73,at30301,Hainburg Krankenhaus,48.14391113,16.96109088,165,austria,AT,background,suburban,01/01/1988 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30301,AT30301,1621560,airbase; aqer:e1a; aqer:e2a
74,at30302,Stixneusiedl,48.05085819,16.67668426,210,austria,AT,background,rural_nearcity,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30302,AT30302,1575918,airbase; aqer:e1a; aqer:e2a
75,at30401,Gänserndorf Baumschulweg,48.33470764,16.73058318,161,austria,AT,background,suburban,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30401,AT30401,1541057,airbase; aqer:e1a; aqer:e2a
76,at30402,Deutsch Wagram,48.298332,16.559174,160,austria,AT,background,rural,26/03/1993 00:00,27/06/2002 11:00,NA,NA,NA,267461,airbase
77,at30403,Wolkersdorf,48.39224332,16.52226386,190,austria,AT,background,rural_nearcity,09/03/1989 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30403,AT30403,1330307,airbase; aqer:e1a; aqer:e2a
78,at30406,Großenzersdorf Friedhof,48.195,16.55056,155,austria,AT,background,rural,03/02/1990 00:00,10/05/2004 07:00,NA,NA,NA,371699,airbase
79,at30407,Glinzendorf im Marchfeld,48.23667602,16.63697872,150,austria,AT,background,rural_nearcity,25/06/2004 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30407,AT30407,588810,airbase; aqer:e1a; aqer:e2a
80,at30502,Heidenreichstein Thaures,48.87861535,15.04669118,560,austria,AT,background,rural_regional,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30502,AT30502,1558215,airbase; aqer:e1a; aqer:e2a
81,at30599,Klosterneuburg Bahnhof Klosterneuburg-Kierling,48.3082457,16.32795827,192,austria,AT,traffic,suburban,01/01/2006 00:00,10/12/2020 09:00,NET-AT001A,STA-AT30599,AT30599,343577,airbase; aqer:e1a; aqer:e2a
82,at30601,Klosterneuburg Wisentgasse (Friedhof),48.3013741,16.3046919,200,austria,AT,background,suburban,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30601,AT30601,1444257,airbase; aqer:e1a; aqer:e2a
83,at30602,Fischamend,48.109444,16.627232,179,austria,AT,background,rural,01/01/1990 00:00,05/09/2002 07:00,NA,NA,NA,310546,airbase
84,at30603,"Himberg,Alter Markt",48.08609533,16.43333065,172,austria,AT,background,rural_nearcity,13/02/1993 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30603,AT30603,692487,airbase; aqer:e1a; aqer:e2a
85,at30701,Ziersdorf,48.52889783,15.94276067,230,austria,AT,background,rural_regional,11/06/2004 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30701,AT30701,317747,airbase; aqer:e1a; aqer:e2a
86,at30801,Irnfritz - Rothweinsdorf,48.72442034,15.50025056,556,austria,AT,background,rural_regional,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30801,AT30801,703094,airbase; aqer:e1a; aqer:e2a
87,at30901,Korneuburg,48.349998,16.334723,170,austria,AT,background,urban,01/01/1990 00:00,14/06/2002 07:00,NA,NA,NA,441513,airbase
88,at30902,"Stockerau,Rudolf Diesel-Straße",48.38830623,16.21450105,186,austria,AT,traffic,suburban,17/10/2005 00:00,13/12/2020 17:00,NET-AT001A,STA-AT30902,AT30902,506370,airbase; aqer:e1a; aqer:e2a
89,at30903,Langenzersdorf,48.303055,16.361389,160,austria,AT,background,rural,26/03/1993 00:00,31/12/2001 23:00,NA,NA,NA,404339,airbase
90,at30992,Stockerau Schulweg,48.388889,16.212223,170,austria,AT,background,suburban,01/01/1990 00:00,31/10/2005 00:00,NA,NA,NA,723848,airbase
91,at31102,"Annaberg,Joachimsberg",47.85526635,15.32193498,891,austria,AT,background,rural_remote,01/03/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31102,AT31102,452272,airbase; aqer:e1a; aqer:e2a
92,at31204,Pöchlarn,48.21303662,15.20722012,216,austria,AT,background,rural_regional,05/05/1999 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31204,AT31204,838923,airbase; aqer:e1a; aqer:e2a
93,at31301,Mistelbach Steinhübel,48.57860724,16.58056453,250,austria,AT,background,suburban,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31301,AT31301,863381,airbase; aqer:e1a; aqer:e2a
94,at31401,Mödling Bachgasse,48.08609533,16.30226645,210,austria,AT,background,suburban,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31401,AT31401,1984977,airbase; aqer:e1a; aqer:e2a
95,at31402,Vösendorf Kindbergstraße,48.12502619,16.33164136,194,austria,AT,traffic,suburban,01/06/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31402,AT31402,1286250,airbase; aqer:e1a; aqer:e2a
96,at31403,Brunn am Gebirge,48.110832,16.283333,288,austria,AT,background,suburban,29/03/1993 00:00,31/12/2005 00:00,NA,NA,NA,537626,airbase
97,at31406,Biedermannsdorf Mühlengasse,48.08333486,16.33721091,188,austria,AT,traffic,suburban,01/03/2007 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31406,AT31406,316520,airbase; aqer:e1a; aqer:e2a
98,at31413,Wiener Neudorf Hauptstraße,48.08387496,16.33029389,219,austria,AT,traffic,suburban,04/06/2008 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31413,AT31413,362504,airbase; aqer:e1a; aqer:e2a
99,at31496,Biedermannsdorf Sportplatz,48.081112,16.348612,180,austria,AT,background,rural,01/06/1996 00:00,01/01/2005 00:00,NA,NA,NA,400447,airbase
100,at31501,"Ternitz,Grabengasse",47.716667,16.044456,380,austria,AT,background,urban,01/01/1990 00:00,19/09/2011 14:00,NA,NA,NA,651374,airbase
101,at31502,Payerbach - Kreuzberg,47.67000522,15.85472578,890,austria,AT,background,rural_regional,01/06/1993 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31502,AT31502,1252840,airbase; aqer:e1a; aqer:e2a
102,at31701,Dunkelsteinerwald - Unterbergern,48.37112262,15.54669346,305,austria,AT,background,rural_nearcity,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31701,AT31701,1430592,airbase; aqer:e1a; aqer:e2a
103,at31703,Traismauer,48.35333626,15.74692794,190,austria,AT,background,rural_regional,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31703,AT31703,1027915,airbase; aqer:e1a; aqer:e2a
104,at31901,Tulln Leopoldgasse,48.33136333,16.05945183,290,austria,AT,background,suburban,05/06/2007 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31901,AT31901,648307,airbase; aqer:e1a; aqer:e2a
105,at31902,Zwentendorf im Tullnerfeld,48.32831742,15.90916368,200,austria,AT,background,rural,01/01/1983 00:00,13/12/2020 17:00,NET-AT001A,STA-AT31902,AT31902,1072025,airbase; aqer:e1a; aqer:e2a
106,at31903,Trasdorf im Tullnerfeld,48.331667,15.859731,192,austria,AT,background,rural,01/01/1990 00:00,31/12/2011 23:00,NA,NA,NA,779080,airbase
107,at31904,Streithofen im Tullnerfeld,48.27668847,15.93611314,220,austria,AT,background,rural,01/01/1983 01:00,04/12/2020 08:00,NET-AT001A,STA-AT31904,AT31904,1708216,airbase; aqer:e1a; aqer:e2a
108,at31905,Neusiedl im Tullnerfeld,48.322222,15.966667,182,austria,AT,background,rural,01/01/1990 00:00,31/12/2011 23:00,NA,NA,NA,863727,airbase
109,at31906,Tulbinger Kogel,48.282222,16.148625,495,austria,AT,background,rural,01/01/1990 00:00,31/12/2011 23:00,NA,NA,NA,728262,airbase
110,at31991,Tulln Wilhelmstraße,48.329998,16.057222,190,austria,AT,industrial,urban,01/01/1990 00:00,27/06/2007 23:00,NA,NA,NA,148276,airbase
111,at32101,Wiesmath,47.60832694,16.29310363,738,austria,AT,background,rural_regional,01/01/1993 00:00,13/12/2020 17:00,NET-AT001A,STA-AT32101,AT32101,417398,airbase; aqer:e1a; aqer:e2a
112,at32201,Großgöttfritz,48.530834,15.166667,710,austria,AT,background,rural,01/01/1993 00:00,23/11/2000 14:00,NA,NA,NA,242657,airbase
113,at32301,St. Pölten Eybnerstraße,48.21142037,15.63167409,270,austria,AT,background,suburban,01/01/1990 00:00,13/12/2020 17:00,NET-AT001A,STA-AT32301,AT32301,1691479,airbase; aqer:e1a; aqer:e2a
114,at32302,St. Pölten Europaplatz HTL,48.20998365,15.61110267,271,austria,AT,traffic,urban,09/04/2003 00:00,13/12/2020 17:00,NET-AT001A,STA-AT32302,AT32302,666571,airbase; aqer:e1a; aqer:e2a
115,at32391,St. Pölten Landhaus,48.201389,15.633056,265,austria,AT,industrial,suburban,01/01/1990 00:00,22/10/1992 01:00,NA,NA,NA,69895,airbase
116,at32401,Wiener Neustadt,47.81414082,16.25501507,265,austria,AT,background,suburban,13/04/1989 00:00,13/12/2020 17:00,NET-AT001A,STA-AT32401,AT32401,1469390,airbase; aqer:e1a; aqer:e2a
117,at32501,Krems,48.40941979,15.62026549,190,austria,AT,background,urban,22/05/1986 00:00,13/12/2020 17:00,NET-AT001A,STA-AT32501,AT32501,1608578,airbase; aqer:e1a; aqer:e2a
118,at32603,Waidhofen an der Ybbs,47.961391,14.787226,460,austria,AT,background,suburban,01/01/1999 00:00,31/12/2008 07:00,NA,NA,NA,462084,airbase
119,at32604,Kematen an der Ybbs,48.04497298,14.77225586,750,austria,AT,background,rural_regional,01/01/2010 00:00,13/12/2020 17:00,NET-AT001A,STA-AT32604,AT32604,423570,airbase; aqer:e1a; aqer:e2a
120,at32701,"Schwechat Sportplatz,Mühlgasse",48.14499006,16.47447349,155,austria,AT,background,suburban,01/01/1986 00:00,13/12/2020 17:00,NET-AT001A,STA-AT32701,AT32701,1983611,airbase; aqer:e1a; aqer:e2a
121,at32702,"Mannswörth bei Schwechat,Danubiastraße/A4",48.1508039,16.51166374,159,austria,AT,traffic,suburban,01/01/2008 00:00,13/12/2020 17:00,NET-AT001A,STA-AT32702,AT32702,216276,airbase; aqer:e1a; aqer:e2a
122,at32792,Mannswörth Freizeitgelände,48.145557,16.523611,155,austria,AT,industrial,suburban,01/01/1990 00:00,11/10/2006 00:00,NA,NA,NA,455320,airbase
123,at4ansf,Ansfelden Gendamerieplatz,48.198411,14.247072,280,austria,AT,traffic,suburban,16/12/2013 23:00,29/11/2018 23:00,NET.04,STA.04.ANSF,AT4ANSF,58,aqer:e1a
124,at4bern,Linz Bernaschekplatz,48.31057586,14.28141639,260,austria,AT,traffic,urban,01/01/2003 00:00,29/11/2018 23:00,NET-AT001A,STA-AT4BERN,AT4BERN,100,airbase; aqer:e1a
125,at4lhbf,Linz HBf. Bahnhofsplatz - Bahnhofspinne,48.29108,14.289505,270,austria,AT,traffic,urban,30/12/2013 23:00,29/11/2018 23:00,NET.04,STA.04.LHBF,AT4LHBF,58,aqer:e1a
126,at4s108,Grünbach bei Freistadt,48.53109892,14.57471633,918,austria,AT,background,rural_regional,01/01/1996 00:00,13/12/2020 17:00,NET-AT001A,STA-AT4S108,AT4S108,1358103,airbase; aqer:e1a; aqer:e2a
127,at4s125,"Bad Ischl,Rettenbachstraße",47.71668456,13.63283275,460,austria,AT,background,suburban,04/04/1991 00:00,13/12/2020 17:00,NET-AT001A,STA-AT4S125,AT4S125,1490579,airbase; aqer:e1a; aqer:e2a
128,at4s131,Linz Tankhafen,48.29444181,14.33747126,254,austria,AT,industrial,urban,01/01/2001 00:00,01/01/2012 00:00,NET-AT001A,STA-AT4S131,AT4S131,32,airbase
129,at4s156,"Braunau Zentrum,Kolpingplatz",48.25833089,13.0400345,350,austria,AT,background,suburban,30/09/1999 00:00,13/12/2020 17:00,NET-AT001A,STA-AT4S156,AT4S156,1291988,airbase; aqer:e1a; aqer:e2a
130,at4s165,Enns Kristein A1,48.206944,14.454169,282,austria,AT,traffic,rural,27/01/2003 00:00,31/12/2012 23:00,NA,NA,NA,595936,airbase
131,at4s166,Weibern A8,48.17889,13.683614,450,austria,AT,traffic,rural,20/05/2003 00:00,31/12/2004 23:00,NA,NA,NA,40490,airbase
132,at4s169,Haid  - Ansfelden,48.2,14.25112,280,austria,AT,traffic,suburban,17/03/2004 00:00,31/12/2004 23:00,NA,NA,NA,21057,airbase
133,at4s171,Enns Eckmayermühle B309,48.209724,14.433889,260,austria,AT,traffic,rural,01/01/2006 00:00,31/12/2007 23:00,NA,NA,NA,89114,airbase
134,at4s173,"Steyregg Au,Freizeitpark",48.2789005,14.36585802,250,austria,AT,industrial,suburban,01/01/2007 00:00,13/12/2020 17:00,NET-AT001A,STA-AT4S173,AT4S173,744291,airbase; aqer:e1a; aqer:e2a
135,at4s184,"Linz Stadtpark,Noßbergerstraße",48.30609469,14.29749623,260,austria,AT,background,urban,01/01/2009 00:00,13/12/2020 17:00,NET-AT001A,STA-AT4S184,AT4S184,434287,airbase; aqer:e1a; aqer:e2a
